Prcie,Unit,Date,Type,Area,Towards,Floor,Arichi,Elevator,Year,Pro,ProR,Decorate,Community,Address,PlotR,Address2,GreenR,Domain,Park,FinishYear
102,19917,5天前,2室1厅2卫,建面51㎡,南向,中层(共20层),"普通住宅 | 板楼	",有电梯,2008年,满二唯一,70年商品房,精装修,汇景凯跃,"未央 - 龙首村 - 
龙首北路西段33号",容积率：4.00,所在地址：龙首北路西段33号,绿化率：30%,所在区域：未央 - 龙首村,停车位：共130个，全部为地上车位,竣工时间：2018年
110,14162,10天前,2室2厅1卫,建面77㎡,西北向,中层(共32层),"普通住宅	",有电梯,2010年,满二唯一,70年商品房,简单装修,兰蒂斯城东区,"碑林 - 交通大学 - 
北沙路11号",容积率：暂无信息,所在地址：北沙路11号,绿化率：暂无信息,所在区域：碑林 - 交通大学,停车位：暂无信息,竣工时间：暂无信息
70,9859,1小时前,2室1厅1卫,建面71㎡,南北向,低层(共7层),"普通住宅 | 板楼	",有电梯,2001年,满两年,70年商品房,简单装修,丰禾小区,暂无信息,容积率：2.36,所在地址：丰禾路8号,绿化率：15%,所在区域：,停车位：暂无信息,竣工时间：1998年
58,8950,11天前,2室2厅1卫,建面64㎡,南北向,中层(共6层),"普通住宅 | 板楼	",无电梯,1995年,满五唯一,70年商品房,简单装修,西纺三村小区,"未央 - 其他 - 
阿房二路",容积率：2.00,所在地址：阿房二路,绿化率：10%,所在区域：未央 - 其他,停车位：暂无信息,竣工时间：2018年
70,6930,7天前,3室2厅1卫,建面101㎡,南北向,低层(共32层),"普通住宅 | 板楼	",有电梯,2017年,唯一住房,70年商品房,毛坯,鹿苑5号公馆,"泾渭新区 - 其他 - 
上林一路,近鹿苑大道",容积率：3.00,"所在地址：上林一路,近鹿苑大道",绿化率：41%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
230,17255,今天,3室2厅2卫,建面133㎡,南北向,高层(共28层),"普通住宅 | 塔楼	",有电梯,2009年,满两年,70年商品房,精装修,融侨紫薇馨苑,"雁塔 - 电子城 - 
电子西街2号",容积率：2.73,所在地址：电子西街2号,绿化率：47%,所在区域：雁塔 - 电子城,停车位：总共3500个车位，户车比例为1 ：0.6，车位出售价21（,竣工时间：2018年
70,6930,20小时前,3室2厅1卫,建面101㎡,南北向,低层(共32层),"普通住宅 | 板楼	",有电梯,2017年,满二唯一,70年商品房,毛坯,天下荣郡,"泾渭新区 - 其他 - 
鹿苑大道",容积率：2.90,所在地址：鹿苑大道,绿化率：35%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
69,6831,2天前,3室2厅1卫,建面101㎡,南北向,低层(共26层),"普通住宅	",有电梯,2017年,唯一住房,70年商品房,毛坯,天下荣郡,"泾渭新区 - 其他 - 
鹿苑大道",容积率：2.90,所在地址：鹿苑大道,绿化率：35%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
70,6796,20小时前,3室2厅1卫,建面103㎡,南北向,中层(共32层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,鹿苑5号公馆,"泾渭新区 - 其他 - 
上林一路,近鹿苑大道",容积率：3.00,"所在地址：上林一路,近鹿苑大道",绿化率：41%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
86,7478,2天前,3室2厅2卫,建面115㎡,南向,高层(共17层),"普通住宅 | 板楼	",有电梯,2018年,不满两年,70年商品房,毛坯,水岸明珠,"未央 - 经济技术开发区 - 
泾渭五路",容积率：3.50,所在地址：泾渭五路,绿化率：38%,所在区域：未央 - 经济技术开发区,停车位：暂无信息,竣工时间：2018年
70,6034,2天前,3室2厅2卫,建面116㎡,南北向,中层(共32层),"普通住宅 | 板楼	",有电梯,2014年,唯一住房,70年商品房,毛坯,天下荣郡,"泾渭新区 - 其他 - 
鹿苑大道",容积率：2.90,所在地址：鹿苑大道,绿化率：35%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
